26;;Media (messaggi)
0;;31,24
25;;
51;;
25;;
62;;
24;;
0;;
49;;
29;;
54;;
54;;
0;;
47;;
2;;
25;;
98;;
24;;
24;;
26;;
29;;
49;;
4;;
62;;
22;;
24;;
2;;
49;;
57;;
55;;
25;;
51;;
27;;
24;;
28;;
2;;
59;;
27;;
97;;
24;;
2;;
0;;
51;;
79;;
30;;
2;;
51;;
65;;
30;;
24;;
4;;
26;;
22;;
0;;
49;;
24;;
0;;
72;;
0;;
27;;
80;;
28;;
26;;
53;;
74;;
57;;
0;;
26;;
2;;
0;;
24;;
51;;
54;;
83;;
27;;
49;;
25;;
22;;
0;;
25;;
0;;
57;;
27;;
79;;
55;;
29;;
0;;
24;;
27;;
47;;
26;;
28;;
0;;
25;;
76;;
25;;
47;;
2;;
0;;
4;;
22;;
55;;
25;;
22;;
22;;
30;;
76;;
2;;
37;;
22;;
53;;
52;;
22;;
54;;
24;;
0;;
53;;
50;;
49;;
27;;
4;;
0;;
79;;
0;;
25;;
49;;
24;;
27;;
0;;
22;;
2;;
47;;
2;;
50;;
87;;
25;;
26;;
0;;
30;;
27;;
0;;
47;;
57;;
0;;
26;;
4;;
0;;
54;;
22;;
81;;
0;;
58;;
26;;
24;;
22;;
22;;
22;;
22;;
24;;
51;;
47;;
0;;
2;;
0;;
54;;
34;;
25;;
0;;
57;;
25;;
4;;
4;;
52;;
55;;
54;;
55;;
32;;
25;;
49;;
0;;
55;;
104;;
0;;
0;;
24;;
25;;
28;;
0;;
27;;
25;;
55;;
84;;
25;;
22;;
34;;
30;;
32;;
80;;
24;;
52;;
24;;
27;;
25;;
26;;
25;;
53;;
89;;
24;;
25;;
24;;
22;;
27;;
76;;
51;;
26;;
4;;
79;;
24;;
62;;
0;;
26;;
0;;
59;;
2;;
25;;
72;;
29;;
0;;
87;;
29;;
57;;
0;;
24;;
28;;
37;;
60;;
27;;
25;;
26;;
50;;
49;;
25;;
26;;
4;;
26;;
27;;
49;;
79;;
26;;
52;;
76;;
49;;
47;;
26;;
59;;
28;;
77;;
2;;
26;;
47;;
30;;
26;;
24;;
25;;
2;;
26;;
24;;
0;;
2;;
25;;
26;;
72;;
30;;
0;;
57;;
29;;
84;;
81;;
2;;
52;;
25;;
24;;
29;;
62;;
0;;
26;;
4;;
22;;
27;;
26;;
82;;
50;;
