3575;;
3434;;
2575;;
3184;;
2153;;
3107;;
2356;;
3263;;2708,059416
3200;;
3106;;
2153;;
3263;;
2404;;
3059;;
3028;;
3137;;
2262;;
2559;;
3653;;
3294;;
2200;;
3231;;
2403;;
2247;;
3341;;
2185;;
2247;;
2247;;
2404;;
2200;;
2403;;
2153;;
3169;;
3262;;
2200;;
2356;;
2153;;
3138;;
3231;;
2279;;
3013;;
2184;;
3107;;
2232;;
2294;;
2325;;
3278;;
2278;;
3106;;
3200;;
2262;;
3153;;
3044;;
3278;;
3747;;
2981;;
3231;;
2387;;
2310;;
3310;;
3013;;
2263;;
2278;;
2122;;
3106;;
2325;;
3122;;
2341;;
3215;;
3090;;
2263;;
2121;;
3278;;
3106;;
3263;;
3216;;
3075;;
2309;;
3215;;
2138;;
3137;;
3044;;
3060;;
2122;;
3091;;
3091;;
3091;;
2153;;
3107;;
3059;;
3215;;
2965;;
2341;;
3059;;
2387;;
2419;;
2310;;
2435;;
2122;;
3215;;
3216;;
3153;;
2294;;
3046;;
2997;;
2154;;
2184;;
2185;;
2153;;
3106;;
3263;;
2263;;
2325;;
2357;;
3200;;
3122;;
3043;;
2247;;
2153;;
3122;;
2121;;
3278;;
2309;;
2278;;
3309;;
3216;;
2247;;
2966;;
2091;;
2247;;
3075;;
3029;;
2091;;
3200;;
3184;;
3044;;
2216;;
2325;;
2340;;
2153;;
2325;;
2091;;
3232;;
3185;;
2278;;
2200;;
3122;;
3091;;
3091;;
3169;;
2232;;
3107;;
3106;;
3122;;
2091;;
3169;;
2310;;
3059;;
2247;;
3075;;
2137;;
2341;;
2231;;
2153;;
2325;;
2106;;
3153;;
2325;;
3294;;
3075;;
2356;;
2262;;
2294;;
2153;;
3044;;
2435;;
2184;;
3262;;
3169;;
3262;;
2216;;
2247;;
3075;;
3075;;
3122;;
4367;;
2481;;
3059;;
3059;;
3216;;
2262;;
3090;;
3106;;
2169;;
3247;;
2997;;
3106;;
3122;;
3106;;
3121;;
3059;;
3325;;
3200;;
3075;;
2357;;
2310;;
2996;;
3029;;
2997;;
2184;;
3106;;
3122;;
3028;;
2997;;
3059;;
3043;;
2137;;
3215;;
3107;;
2278;;
2262;;
2185;;
3075;;
2169;;
3122;;
2091;;
2997;;
2153;;
3372;;
3091;;
3122;;
2996;;
2309;;
3107;;
3059;;
3403;;
3067;;
3293;;
3106;;
2216;;
3059;;
2122;;
2357;;
3044;;
2247;;
2247;;
2387;;
3060;;
3106;;
2278;;
2153;;
3247;;
2387;;
2215;;
3215;;
2231;;
2263;;
2185;;
2325;;
2185;;
3200;;
3216;;
3309;;
3154;;
2293;;
3185;;
3216;;
2106;;
3075;;
3091;;
3059;;
2216;;
2200;;
3200;;
2341;;
3013;;
2184;;
2418;;
3497;;
2528;;
3372;;
3122;;
2310;;
2231;;
3059;;
2184;;
2138;;
